council,register_ref,eircode,id,original_address,cleaned_query,lat,lon,confidence,check_on_map
"Cork City","DSP-2221","","cork-DSP-2221","Site between 8 Seminary Road and 9 Seminary Road, Blackpool, Cork","8 Seminary Road, Blackpool, Cork","51.909567","-8.476321","town","https://www.openstreetmap.org/?mlat=51.909567&mlon=-8.476321#map=18/51.909567/-8.476321"
"Cork City","DSP-2238","","cork-DSP-2238","(Formerly Cremin Drycleaners and BOI), East Douglas Street, Douglas, Cork","East Douglas Street, Douglas, Cork","51.876369","-8.434045","town","https://www.openstreetmap.org/?mlat=51.876369&mlon=-8.434045#map=18/51.876369/-8.434045"
"Cork City","DSP-2219","","cork-DSP-2219","Property next to 1 Rock Cottages, Kileens, Rathpeacon, Co. Cork","1 Rock Cottages, Kileens, Rathpeacon, Co. Cork","51.901398","-8.48177","street","https://www.openstreetmap.org/?mlat=51.901398&mlon=-8.48177#map=18/51.901398/-8.48177"
"Cork City","DSP-1825","","cork-DSP-1825","Former Angel Guardian Boys School, Springfield Road, Cork","Springfield Road, Cork","51.937089","-8.469408","street","https://www.openstreetmap.org/?mlat=51.937089&mlon=-8.469408#map=18/51.937089/-8.469408"
"Cork County","BK/DS/18","","cork-co-BK-DS-18","O'Sullivan's Apts, Market Place, Kinsale","Market Place, Kinsale, Co. Cork","51.70624","-8.524003","town","https://www.openstreetmap.org/?mlat=51.70624&mlon=-8.524003#map=18/51.70624/-8.524003"
"Cork County","KMMD/DS/01","P51NR50","cork-co-KMMD-DS-01","Former Central Hotel Site, Mallow","Main Street, Mallow, Co. Cork","52.136111","-8.64252","town","https://www.openstreetmap.org/?mlat=52.136111&mlon=-8.64252#map=18/52.136111/-8.64252"
"Cork County","KMMD/DS/08","","cork-co-KMMD-DS-08","the northeast of the main road to Kanturk ( Cecilstown), Mallow","Main Road, Cecilstown, Mallow, Co. Cork","52.173471","-8.77576","town","https://www.openstreetmap.org/?mlat=52.173471&mlon=-8.77576#map=18/52.173471/-8.77576"
"Cork County","KMMD/DS/09","","cork-co-KMMD-DS-09","the south side of Jail Lane, Charleville","Jail Lane, Charleville, Co. Cork","52.35276","-8.681179","town","https://www.openstreetmap.org/?mlat=52.35276&mlon=-8.681179#map=18/52.35276/-8.681179"
"Cork County","KMMD/DS/11","","cork-co-KMMD-DS-11","A lane off the westside of Main Street (Dispensary Lane)/Mc Carthys Lane, Buttevant","Mc Carthys Lane, Buttevant, Co. Cork","52.23151","-8.67025","street","https://www.openstreetmap.org/?mlat=52.23151&mlon=-8.67025#map=18/52.23151/-8.67025"
"Cork County","KMMD/DS/12","","cork-co-KMMD-DS-12","The corner of New Street & lane leading to Ballalley Tce, Buttevant","New Street, Buttevant, Co. Cork","52.231455","-8.669262","street","https://www.openstreetmap.org/?mlat=52.231455&mlon=-8.669262#map=18/52.231455/-8.669262"
"Cork County","KMMD/DS/15","","cork-co-KMMD-DS-15","Westside of road between Tullylease and Freemount - Site No 3","Tullylease to Freemount Road, Tullylease, Co. Cork","52.286757","-8.873815","street","https://www.openstreetmap.org/?mlat=52.286757&mlon=-8.873815#map=18/52.286757/-8.873815"
"Cork County","MMD/DS/04","","cork-co-MMD-DS-04","Derelict Site at Bridewell Lane, Macroom","Bridewell Lane, Macroom, Co. Cork","52.134871","-8.640495","street","https://www.openstreetmap.org/?mlat=52.134871&mlon=-8.640495#map=18/52.134871/-8.640495"
"Cork County","MMD/DS/05","","cork-co-MMD-DS-05","Derelict Site at Duggans Lane, Macroom","Duggans Lane, Macroom, Co. Cork","51.906507","-8.963821","street","https://www.openstreetmap.org/?mlat=51.906507&mlon=-8.963821#map=18/51.906507/-8.963821"
"Cork County","MMD/DS/06","P12VF64","cork-co-MMD-DS-06","No 1 An Faithin, Tarelton, Tarelton","1 An Faithin, Tarelton, Co. Cork","51.862209","-8.418082","street","https://www.openstreetmap.org/?mlat=51.862209&mlon=-8.418082#map=18/51.862209/-8.418082"
"Cork County","MMD/DS/07","P12T886","cork-co-MMD-DS-07","No 6 An Faithin, Tarelton, Tarelton","6 An Faithin, Tarelton, Co. Cork","51.935154","-8.45319","street","https://www.openstreetmap.org/?mlat=51.935154&mlon=-8.45319#map=18/51.935154/-8.45319"
"Cork County","MMD/DS/08","P12Y027","cork-co-MMD-DS-08","No 8 An Faithin, Tarelton, Tarelton","8 An Faithin, Tarelton, Co. Cork","51.897223","-8.471572","street","https://www.openstreetmap.org/?mlat=51.897223&mlon=-8.471572#map=18/51.897223/-8.471572"
"Cork County","MMD/DS/09","P12YN81","cork-co-MMD-DS-09","No 13 An Faithin, Tarelton, Tarelton","13 An Faithin, Tarelton, Co. Cork","51.862301","-8.417387","street","https://www.openstreetmap.org/?mlat=51.862301&mlon=-8.417387#map=18/51.862301/-8.417387"
"Cork County","MMD/DS/10","P12K242","cork-co-MMD-DS-10","No 16 An Faithin, Terelton, Tarelton","16 An Faithin, Terelton, Co. Cork","51.894877","-8.474575","street","https://www.openstreetmap.org/?mlat=51.894877&mlon=-8.474575#map=18/51.894877/-8.474575"
"Cork County","MMD/DS/12","P12 K163","cork-co-MMD-DS-12","Former Shop at New Street, Gurteenroe, Macroom, Macroom","New Street, Gurteenroe, Macroom, Co. Cork","51.913595","-8.979403","town","https://www.openstreetmap.org/?mlat=51.913595&mlon=-8.979403#map=18/51.913595/-8.979403"
"Kildare","DS-2007-K02","","kildare-DS-2007-K02","Mary Hickeys Sweet Shop, Church Street, Kilcock, Co. Kildare","Church Street, Kilcock, Co. Kildare","53.403958","-6.672224","town","https://www.openstreetmap.org/?mlat=53.403958&mlon=-6.672224#map=18/53.403958/-6.672224"
"Kildare","DS-2007-N03","","kildare-DS-2007-N03","Old Band Hall, Cutlery Road, Newbridge, Co. Kildare","Cutlery Road, Newbridge, Co. Kildare","53.178432","-6.797469","town","https://www.openstreetmap.org/?mlat=53.178432&mlon=-6.797469#map=18/53.178432/-6.797469"
"Kildare","DS-2022-21","","kildare-DS-2022-21","Blossom Hill House, Ballynakill, Broadford, Co. Kildare","Ballynakill, Broadford, Co. Kildare","53.440636","-6.968184","town","https://www.openstreetmap.org/?mlat=53.440636&mlon=-6.968184#map=18/53.440636/-6.968184"
"Kildare","DS-2018-Celbridge01","","kildare-DS-2018-Celbridge01","Property 1 at Hazelhatch Train Station, Celbridge, Co. Kildare","Hazelhatch Train Station, Celbridge, Co. Kildare","53.323612","-6.523285","town","https://www.openstreetmap.org/?mlat=53.323612&mlon=-6.523285#map=18/53.323612/-6.523285"
"Kildare","DS-2018-Celbridge02","","kildare-DS-2018-Celbridge02","Property 2 at Hazelhatch Train Station, Celbridge, Co. Kildare","Hazelhatch Train Station, Celbridge, Co. Kildare","53.323612","-6.523285","town","https://www.openstreetmap.org/?mlat=53.323612&mlon=-6.523285#map=18/53.323612/-6.523285"
"Kildare","DS-2018-Celbridge03","","kildare-DS-2018-Celbridge03","Property 3 at Hazelhatch Train Station, Celbridge, Co. Kildare","Hazelhatch Train Station, Celbridge, Co. Kildare","53.323612","-6.523285","town","https://www.openstreetmap.org/?mlat=53.323612&mlon=-6.523285#map=18/53.323612/-6.523285"
"Kildare","DS-2023-23","","kildare-DS-2023-23","Property at St. Michael's Convent, Stanhope Place, Athy, Co. Kildare","Stanhope Place, Athy, Co. Kildare","52.993407","-6.982842","town","https://www.openstreetmap.org/?mlat=52.993407&mlon=-6.982842#map=18/52.993407/-6.982842"
"Kildare","DS-2023-21","","kildare-DS-2023-21","Summerhill House & Stables, Blackrath, The Curragh, Co.Kildare","Blackrath, The Curragh, Co. Kildare","53.046647","-6.777599","town","https://www.openstreetmap.org/?mlat=53.046647&mlon=-6.777599#map=18/53.046647/-6.777599"
"Kildare","DS-2024-30","","kildare-DS-2024-30","Clean Machine Laundrette, Shraud Road, Co. Kildare","Shraud Road, Co. Kildare","53.162806","-6.908048","street","https://www.openstreetmap.org/?mlat=53.162806&mlon=-6.908048#map=18/53.162806/-6.908048"
"Kildare","DS-2024-32","","kildare-DS-2024-32","Tattoo Parlour at Station Road, Kildare Town","Station Road, Kildare Town, Co. Kildare","53.184901","-6.810829","street","https://www.openstreetmap.org/?mlat=53.184901&mlon=-6.810829#map=18/53.184901/-6.810829"
"Kildare","DS-2024-29","","kildare-DS-2024-29","Main Street, Sallins, Units 5,6,7,8,9, Co. Kildare","5 Main Street, Sallins, Co. Kildare","53.255045","-6.663378","street","https://www.openstreetmap.org/?mlat=53.255045&mlon=-6.663378#map=18/53.255045/-6.663378"
"Mayo","DS2024/17","F26 X5P9","mayo-ds2024-17","Lidl House, Bohernasup, Ballina, Co Mayo F26 X5P9","Bohernasup, Ballina, Co Mayo F26 X5P9","54.122039","-9.158992","town","https://www.openstreetmap.org/?mlat=54.122039&mlon=-9.158992#map=18/54.122039/-9.158992"
"Mayo","DS40/108","F26 XT63","mayo-ds40-108","""Stephanie's Hair Salon"", Abbey Street, Abbeyhalfquarter, Ardnaree South, Ballina, Co Mayo F26XT63","Abbey Street, Abbeyhalfquarter, Ardnaree South, Ballina, Co Mayo F26XT63","54.11302","-9.139194","town","https://www.openstreetmap.org/?mlat=54.11302&mlon=-9.139194#map=18/54.11302/-9.139194"
"Mayo","DS40/126","F26 R6D2","mayo-ds40-126","Abbey Street, Abbeyhalfquater, Ardnaree South, Ballina, F26 R6D2, Co. Mayo","Abbey Street, Ardnaree South, Ballina, F26 R6D2, Co. Mayo","54.112276","-9.152363","town","https://www.openstreetmap.org/?mlat=54.112276&mlon=-9.152363#map=18/54.112276/-9.152363"
"Mayo","DS40/160","","mayo-ds40-160","Becket' s Saw Mill, Barret Street, Ballina, Co Mayo","Barret Street, Ballina, Co Mayo","54.110936","-9.156215","town","https://www.openstreetmap.org/?mlat=54.110936&mlon=-9.156215#map=18/54.110936/-9.156215"
"Mayo","DS40/184","","mayo-ds40-184","Un-Used Land, Castlefield Manor, Kilmoremoy, Ballina, Co Mayo","Castlefield Manor, Kilmoremoy, Ballina, Co Mayo","54.125898","-9.157899","street","https://www.openstreetmap.org/?mlat=54.125898&mlon=-9.157899#map=18/54.125898/-9.157899"
"Mayo","DS40/191","F26 Y9P0","mayo-ds40-191","No. (9) St. Enda's Villa's Ballina, Co Mayo F26 Y9P0.","9 St. Enda's Villas, Ballina, Co. Mayo, F26 Y9P0","54.11415","-9.162415","town","https://www.openstreetmap.org/?mlat=54.11415&mlon=-9.162415#map=18/54.11415/-9.162415"
"Mayo","DS40/195","F26 C3W2","mayo-ds40-195","Property 1 Barrett Street, Ballina, Co Mayo F26 C3W2","1 Barrett Street, Ballina, Co Mayo F26 C3W2","54.112307","-9.152258","street","https://www.openstreetmap.org/?mlat=54.112307&mlon=-9.152258#map=18/54.112307/-9.152258"
"Mayo","DS40/57","F26 K803","mayo-ds40-57","O'Rahilly Street, Ballina, F26 K803 (Garveys Bakery), Co. Mayo","O'Rahilly Street, Ballina, Co. Mayo, F26 K803","54.113056","-9.15561","town","https://www.openstreetmap.org/?mlat=54.113056&mlon=-9.15561#map=18/54.113056/-9.15561"
"Mayo","DS40/76","","mayo-ds40-76","Entrance to ""The Hawthorns"", Killala Road, Ballina, Co. Mayo","Killala Road, Ballina, Co. Mayo","54.124091","-9.161044","town","https://www.openstreetmap.org/?mlat=54.124091&mlon=-9.161044#map=18/54.124091/-9.161044"
"Mayo","DS40/83","","mayo-ds40-83","Old Mill,Knocknalyre, Sligo Road, Ballina, Co. Mayo","Knocknalyre, Sligo Road, Ballina, Co. Mayo","54.119928","-9.133552","street","https://www.openstreetmap.org/?mlat=54.119928&mlon=-9.133552#map=18/54.119928/-9.133552"
"Mayo","DS40/91","F26 A073","mayo-ds40-91","""Pet Stop Discount Warehouse"", Kevin Barry St., Ballina,Co Mayo F26 A073","Kevin Barry St., Ballina, Co. Mayo F26 A073","54.112205","-9.15928","town","https://www.openstreetmap.org/?mlat=54.112205&mlon=-9.15928#map=18/54.112205/-9.15928"
"Mayo","DS2024/23","F26 R5P3","mayo-ds2024-23","Tyrawley House, McDermott Street, Ballina, Co Mayo F26 R5P3","McDermott Street, Ballina, Co. Mayo F26 R5P3","54.115326","-9.159439","town","https://www.openstreetmap.org/?mlat=54.115326&mlon=-9.159439#map=18/54.115326/-9.159439"
"Mayo","DS10/52","F26 CR94","mayo-ds10-52","R314, Gore Street, Killala, Co Mayo F26 CR94","Gore Street, Killala, Co. Mayo F26 CR94","54.213029","-9.220746","street","https://www.openstreetmap.org/?mlat=54.213029&mlon=-9.220746#map=18/54.213029/-9.220746"
"Mayo","DS42/03","","mayo-ds42-03","""Woodside Motors"", Claremorris Road, Balla, Co Mayo","Claremorris Road, Balla, Co Mayo","53.720684","-9.002221","street","https://www.openstreetmap.org/?mlat=53.720684&mlon=-9.002221#map=18/53.720684/-9.002221"
"Mayo","DS2024/19","","mayo-ds2024-19","Semi-detached structure adjacent to former Garda Station, Ballyglass, Claremorris, Co Mayo","Ballyglass, Claremorris, Co Mayo","53.915818","-8.985574","town","https://www.openstreetmap.org/?mlat=53.915818&mlon=-8.985574#map=18/53.915818/-8.985574"
"Mayo","DS43/01","F23 CH64","mayo-ds43-01","""Ballyvary House"", Main Street, Ballyvary, Castlebar, Co Mayo F23 CH64","Main Street, Ballyvary, Castlebar, Co. Mayo F23 CH64","53.856781","-9.298259","street","https://www.openstreetmap.org/?mlat=53.856781&mlon=-9.298259#map=18/53.856781/-9.298259"
"Mayo","DS41/17","","mayo-ds41-17","Saleen Property Site 2F, Co. Mayo","Saleen, Co. Mayo","53.847565","-9.289311","town","https://www.openstreetmap.org/?mlat=53.847565&mlon=-9.289311#map=18/53.847565/-9.289311"
"Mayo","DS41/21","F23 YW65","mayo-ds41-21","Gavin and Brennan Buildings, Knockthomas, Castlebar, Co Mayo F23 YW65","Knockthomas, Castlebar, Co. Mayo, F23 YW65","53.861432","-9.293534","town","https://www.openstreetmap.org/?mlat=53.861432&mlon=-9.293534#map=18/53.861432/-9.293534"
"Mayo","DS41/23","","mayo-ds41-23","Site H: Brennan's Yard, Knockthomas, Castlebar, Co Mayo","Knockthomas, Castlebar, Co Mayo","53.861432","-9.293534","town","https://www.openstreetmap.org/?mlat=53.861432&mlon=-9.293534#map=18/53.861432/-9.293534"
"Mayo","DS41/24","F23 E297","mayo-ds41-24","Former Commercial Premises, Newport Road, Castlebar, Co Mayo F23E297","Newport Road, Castlebar, Co Mayo F23E297","53.857424","-9.313263","town","https://www.openstreetmap.org/?mlat=53.857424&mlon=-9.313263#map=18/53.857424/-9.313263"
"Mayo","DS41/45","","mayo-ds41-45","Saleen Site (beside Cushlough), Saleen, Castlebar, Co Mayo","Saleen, Castlebar, Co Mayo","53.845396","-9.296568","town","https://www.openstreetmap.org/?mlat=53.845396&mlon=-9.296568#map=18/53.845396/-9.296568"
"Mayo","DS2025/16","F23 WE16","mayo-ds2025-16","Hill House, Mountain View, Castlebar, Co Mayo, F23 WE16","Mountain View, Castlebar, Co Mayo, F23 WE16","53.854078","-9.300677","town","https://www.openstreetmap.org/?mlat=53.854078&mlon=-9.300677#map=18/53.854078/-9.300677"
"Mayo","DS2025/27","F26 CK77","mayo-ds2025-27","Devanney's Bar, Lahardane, Co Mayo F26 CK77","Lahardane, Co Mayo F26 CK77","54.028248","-9.321658","town","https://www.openstreetmap.org/?mlat=54.028248&mlon=-9.321658#map=18/54.028248/-9.321658"
"Mayo","DS17/38","","mayo-ds17-38","Old Rugby Club, High St., Ballinrobe, Co Mayo","High St., Ballinrobe, Co. Mayo","53.624548","-9.226393","street","https://www.openstreetmap.org/?mlat=53.624548&mlon=-9.226393#map=18/53.624548/-9.226393"
"Mayo","DS17/65","F31 AK54","mayo-ds17-65","""Mooneys"", Bridge Street, Ballinrobe, Co Mayo F31 AK54","Bridge Street, Ballinrobe, Co Mayo F31 AK54","53.624296","-9.223164","town","https://www.openstreetmap.org/?mlat=53.624296&mlon=-9.223164#map=18/53.624296/-9.223164"
"Mayo","DS2025/25","F31 T671","mayo-ds2025-25","Glenview, 49 Abbey Street, Ballinrobe, Co Mayo F31 T671","49 Abbey Street, Ballinrobe, Co. Mayo F31 T671","53.624554","-9.221934","town","https://www.openstreetmap.org/?mlat=53.624554&mlon=-9.221934#map=18/53.624554/-9.221934"
"Mayo","DS19/42","","mayo-ds19-42","Cash For Clothes, The Square, Claremorris, Co Mayo","The Square, Claremorris, Co. Mayo","53.719571","-8.997705","town","https://www.openstreetmap.org/?mlat=53.719571&mlon=-8.997705#map=18/53.719571/-8.997705"
"Mayo","DS19/43","F12 Y1T9","mayo-ds19-43","O Brien Flats Knock Road Claremorris Co Mayo F12Y1T9, F12Y314","Knock Road, Claremorris, Co. Mayo, F12Y1T9","53.725695","-8.99549","town","https://www.openstreetmap.org/?mlat=53.725695&mlon=-8.99549#map=18/53.725695/-8.99549"
"Mayo","DS19/63","F12 VF95","mayo-ds19-63","James Street, Claremorris, Co Mayo (beside bank on corner F12 VF95).","James Street, Claremorris, Co Mayo F12 VF95","53.717325","-9.000195","town","https://www.openstreetmap.org/?mlat=53.717325&mlon=-9.000195#map=18/53.717325/-9.000195"
"Mayo","DS19/73","F12 WP03","mayo-ds19-73","Old Convent, Claremount, Claremorris, Co Mayo F12WP03","Claremount, Claremorris, Co. Mayo, F12WP03","53.734353","-8.997968","town","https://www.openstreetmap.org/?mlat=53.734353&mlon=-8.997968#map=18/53.734353/-8.997968"
"Mayo","DS2024/21","","mayo-ds2024-21","House without a roof, Irishtown, Foxford, Co Mayo","Irishtown, Foxford, Co Mayo","53.662654","-8.888004","street","https://www.openstreetmap.org/?mlat=53.662654&mlon=-8.888004#map=18/53.662654/-8.888004"
"Mayo","DS04/07","","mayo-ds04-07","Old Petrol Station, N17, Kilkelly, Co Mayo","N17, Kilkelly, Co Mayo","53.864918","-8.853469","town","https://www.openstreetmap.org/?mlat=53.864918&mlon=-8.853469#map=18/53.864918/-8.853469"
"Mayo","DS04/16","","mayo-ds04-16","Ballaghaderreen Road, Kilkelly, Co Mayo","Ballaghaderreen Road, Kilkelly, Co Mayo","53.848255","-9.269948","street","https://www.openstreetmap.org/?mlat=53.848255&mlon=-9.269948#map=18/53.848255/-9.269948"
"Mayo","DS12/52","F12 EK84","mayo-ds12-52","Former Commercial Unit, Main Street, Kiltimagh, Co Mayo F12EK84.","Main Street, Kiltimagh, Co Mayo F12EK84","53.850319","-8.998409","town","https://www.openstreetmap.org/?mlat=53.850319&mlon=-8.998409#map=18/53.850319/-8.998409"
"Mayo","DS12/56","","mayo-ds12-56","A. Cleary & Sons Limited, George's Street, Kiltimagh, Co Mayo","George's Street, Kiltimagh, Co Mayo","53.85","-9","town","https://www.openstreetmap.org/?mlat=53.85&mlon=-9#map=18/53.85/-9"
"Mayo","DS2024/20","F12 ND32","mayo-ds2024-20","Former N17 Night-Club, Main Street, Kiltimagh, Co Mayo F12 ND32","Main Street, Kiltimagh, Co Mayo F12 ND32","53.850319","-8.998409","town","https://www.openstreetmap.org/?mlat=53.850319&mlon=-8.998409#map=18/53.850319/-8.998409"
"Mayo","DS06/01","F12 XF64","mayo-ds06-01","Belmont Hotel, Churchfield, Knock, Co Mayo F12 XF64","Churchfield, Knock, Co. Mayo F12 XF64","53.783173","-8.906072","town","https://www.openstreetmap.org/?mlat=53.783173&mlon=-8.906072#map=18/53.783173/-8.906072"
"Mayo","DS31/01","F12 R2E1","mayo-ds31-01","Roundfort Stores, Roundfort, Hollymount, Co Mayo F12 R2E1","Roundfort, Hollymount, Co. Mayo, F12 R2E1","53.645638","-9.109414","town","https://www.openstreetmap.org/?mlat=53.645638&mlon=-9.109414#map=18/53.645638/-9.109414"
"Mayo","DS15/37","","mayo-ds15-37","Brookville Ave. Swinford, Co Mayo","Brookville Ave, Swinford, Co. Mayo","53.70305","-9.014524","town","https://www.openstreetmap.org/?mlat=53.70305&mlon=-9.014524#map=18/53.70305/-9.014524"
"Mayo","DS15/38","","mayo-ds15-38","Brookville Ave. Swinford, Co Mayo","Brookville Ave, Swinford, Co. Mayo","53.70305","-9.014524","town","https://www.openstreetmap.org/?mlat=53.70305&mlon=-9.014524#map=18/53.70305/-9.014524"
"Mayo","DS24/01","","mayo-ds24-01","The Old Terminal Building, Achill Sound, Co. Mayo","Achill Sound, Co. Mayo","53.929635","-9.927451","town","https://www.openstreetmap.org/?mlat=53.929635&mlon=-9.927451#map=18/53.929635/-9.927451"
"Mayo","DS08/32","F28 PD62","mayo-ds08-32","""Carrowbaun House"", Medlicott Street, Newport, Co Mayo F28 PD62","Medlicott Street, Newport, Co Mayo F28 PD62","53.883174","-9.547398","town","https://www.openstreetmap.org/?mlat=53.883174&mlon=-9.547398#map=18/53.883174/-9.547398"
"Mayo","DS08/37","","mayo-ds08-37","Quay Road, Newport, Co Mayo Townland of KnocknageehaF28 FX04","Quay Road, Newport, Co. Mayo, F28 FX04","53.885484","-9.556522","town","https://www.openstreetmap.org/?mlat=53.885484&mlon=-9.556522#map=18/53.885484/-9.556522"
"Mayo","DS08/52","F28 HF79","mayo-ds08-52","Newport Youth Café, Castlebar Street, Newport, Co Mayo F28 HF79","Castlebar Street, Newport, Co Mayo F28 HF79","53.884864","-9.544366","town","https://www.openstreetmap.org/?mlat=53.884864&mlon=-9.544366#map=18/53.884864/-9.544366"
"Tipperary","ENV-C-20-19","E21 Y998","tipperary-env-c-20-19","Honey Cottage, Glennagat, Cahir, Co. Tipperary, E21 Y998","Glennagat, Cahir, Co. Tipperary, E21 Y998","52.422485","-7.836376","town","https://www.openstreetmap.org/?mlat=52.422485&mlon=-7.836376#map=18/52.422485/-7.836376"
"Tipperary","ENV-C-22-16","","tipperary-env-c-22-16","Ashbury Industrial Estate, (Former Offray Factory), Roscrea, Co. Tipperary","Ashbury Industrial Estate, Roscrea, Co. Tipperary","52.965527","-7.788511","town","https://www.openstreetmap.org/?mlat=52.965527&mlon=-7.788511#map=18/52.965527/-7.788511"
"Tipperary","ENV-C-17-5","","tipperary-env-c-17-5","Caulfields Supervalu, Bank Place, Tipperary Town","Bank Place, Tipperary Town, Co. Tipperary","52.473484","-8.161445","town","https://www.openstreetmap.org/?mlat=52.473484&mlon=-8.161445#map=18/52.473484/-8.161445"
"Tipperary","ENV-C-19-10","E25 X732","tipperary-env-c-19-10","Kearneys Castle, Main Street, Cashel, Co Tipperary E25 X732","Main Street, Cashel, Co Tipperary E25 X732","52.515901","-7.890735","town","https://www.openstreetmap.org/?mlat=52.515901&mlon=-7.890735#map=18/52.515901/-7.890735"
"Tipperary","TRT.25.010","E91 PP99","tipperary-trt-25-010-1","E91 PP99 Market Place (formerly Xtra Vision) Site (Folio TY61870F), Co. Tipperary","Market Place, Co. Tipperary, E91 PP99","52.354674","-7.701496","town","https://www.openstreetmap.org/?mlat=52.354674&mlon=-7.701496#map=18/52.354674/-7.701496"
"Tipperary","TRT.25.010","E91 F896","tipperary-trt-25-010-2","b) E91 F896 Market Place SC (formerly Mai’s Café), Co. Tipperary","Market Place, Clonmel, Co. Tipperary, E91 F896","52.354674","-7.701496","town","https://www.openstreetmap.org/?mlat=52.354674&mlon=-7.701496#map=18/52.354674/-7.701496"
"Tipperary","TRT.25.010","E91 PF53","tipperary-trt-25-010-12","l) E91 PF53 Unit B8 Market Place, Co. Tipperary","Unit B8 Market Place, Co. Tipperary, E91 PF53","52.354674","-7.701496","town","https://www.openstreetmap.org/?mlat=52.354674&mlon=-7.701496#map=18/52.354674/-7.701496"
"Tipperary","TRT.26.010","E45 X924","tipperary-trt-26-010","Church Street, Bunacum, Toomevara E45 X924, Co. Tipperary","Church Street, Toomevara, Co. Tipperary, E45 X924","52.851206","-8.034301","town","https://www.openstreetmap.org/?mlat=52.851206&mlon=-8.034301#map=18/52.851206/-8.034301"
"Wexford","DER2024-079","","wexford-der2024-079","Site at Clonard Road (Rear of Circle K Garage), Wexford","Clonard Road, Wexford","52.333065","-6.477139","town","https://www.openstreetmap.org/?mlat=52.333065&mlon=-6.477139#map=18/52.333065/-6.477139"
