council,register_ref,eircode,id,original_address,cleaned_query,lat,lon,confidence,check_on_map
Mayo,DS41/21,F23 YW65,mayo-ds41-21,"Gavin and Brennan Buildings, Knockthomas, Castlebar, Co Mayo F23 YW65","Knockthomas, Castlebar, Co. Mayo, F23 YW65",53.861432,-9.293534,town,https://www.openstreetmap.org/?mlat=53.861432&mlon=-9.293534#map=18/53.861432/-9.293534
Mayo,DS41/24,F23 E297,mayo-ds41-24,"Former Commercial Premises, Newport Road, Castlebar, Co Mayo F23E297","Newport Road, Castlebar, Co Mayo F23E297",53.857424,-9.313263,town,https://www.openstreetmap.org/?mlat=53.857424&mlon=-9.313263#map=18/53.857424/-9.313263
Mayo,DS2025/16,F23 WE16,mayo-ds2025-16,"Hill House, Mountain View, Castlebar, Co Mayo, F23 WE16","Mountain View, Castlebar, Co Mayo, F23 WE16",53.854078,-9.300677,town,https://www.openstreetmap.org/?mlat=53.854078&mlon=-9.300677#map=18/53.854078/-9.300677
Mayo,DS2025/27,F26 CK77,mayo-ds2025-27,"Devanney's Bar, Lahardane, Co Mayo F26 CK77","Lahardane, Co Mayo F26 CK77",54.028248,-9.321658,town,https://www.openstreetmap.org/?mlat=54.028248&mlon=-9.321658#map=18/54.028248/-9.321658
Mayo,DS17/65,F31 AK54,mayo-ds17-65,"""Mooneys"", Bridge Street, Ballinrobe, Co Mayo F31 AK54","Bridge Street, Ballinrobe, Co Mayo F31 AK54",53.624296,-9.223164,town,https://www.openstreetmap.org/?mlat=53.624296&mlon=-9.223164#map=18/53.624296/-9.223164
Mayo,DS2025/25,F31 T671,mayo-ds2025-25,"Glenview, 49 Abbey Street, Ballinrobe, Co Mayo F31 T671","49 Abbey Street, Ballinrobe, Co. Mayo F31 T671",53.624554,-9.221934,town,https://www.openstreetmap.org/?mlat=53.624554&mlon=-9.221934#map=18/53.624554/-9.221934
Mayo,DS19/43,F12 Y1T9,mayo-ds19-43,"O Brien Flats Knock Road Claremorris Co Mayo F12Y1T9, F12Y314","Knock Road, Claremorris, Co. Mayo, F12Y1T9",53.725695,-8.99549,town,https://www.openstreetmap.org/?mlat=53.725695&mlon=-8.99549#map=18/53.725695/-8.99549
Mayo,DS19/63,F12 VF95,mayo-ds19-63,"James Street, Claremorris, Co Mayo (beside bank on corner F12 VF95).","James Street, Claremorris, Co Mayo F12 VF95",53.717325,-9.000195,town,https://www.openstreetmap.org/?mlat=53.717325&mlon=-9.000195#map=18/53.717325/-9.000195
Mayo,DS19/73,F12 WP03,mayo-ds19-73,"Old Convent, Claremount, Claremorris, Co Mayo F12WP03","Claremount, Claremorris, Co. Mayo, F12WP03",53.734353,-8.997968,town,https://www.openstreetmap.org/?mlat=53.734353&mlon=-8.997968#map=18/53.734353/-8.997968
Mayo,DS12/52,F12 EK84,mayo-ds12-52,"Former Commercial Unit, Main Street, Kiltimagh, Co Mayo F12EK84.","Main Street, Kiltimagh, Co Mayo F12EK84",53.850319,-8.998409,town,https://www.openstreetmap.org/?mlat=53.850319&mlon=-8.998409#map=18/53.850319/-8.998409
Mayo,DS2024/20,F12 ND32,mayo-ds2024-20,"Former N17 Night-Club, Main Street, Kiltimagh, Co Mayo F12 ND32","Main Street, Kiltimagh, Co Mayo F12 ND32",53.850319,-8.998409,town,https://www.openstreetmap.org/?mlat=53.850319&mlon=-8.998409#map=18/53.850319/-8.998409
Mayo,DS06/01,F12 XF64,mayo-ds06-01,"Belmont Hotel, Churchfield, Knock, Co Mayo F12 XF64","Churchfield, Knock, Co. Mayo F12 XF64",53.783173,-8.906072,town,https://www.openstreetmap.org/?mlat=53.783173&mlon=-8.906072#map=18/53.783173/-8.906072
Mayo,DS31/01,F12 R2E1,mayo-ds31-01,"Roundfort Stores, Roundfort, Hollymount, Co Mayo F12 R2E1","Roundfort, Hollymount, Co. Mayo, F12 R2E1",53.645638,-9.109414,town,https://www.openstreetmap.org/?mlat=53.645638&mlon=-9.109414#map=18/53.645638/-9.109414
Mayo,DS08/32,F28 PD62,mayo-ds08-32,"""Carrowbaun House"", Medlicott Street, Newport, Co Mayo F28 PD62","Medlicott Street, Newport, Co Mayo F28 PD62",53.883174,-9.547398,town,https://www.openstreetmap.org/?mlat=53.883174&mlon=-9.547398#map=18/53.883174/-9.547398
Mayo,DS08/52,F28 HF79,mayo-ds08-52,"Newport Youth Café, Castlebar Street, Newport, Co Mayo F28 HF79","Castlebar Street, Newport, Co Mayo F28 HF79",53.884864,-9.544366,town,https://www.openstreetmap.org/?mlat=53.884864&mlon=-9.544366#map=18/53.884864/-9.544366
Tipperary,ENV-C-20-19,E21 Y998,tipperary-env-c-20-19,"Honey Cottage, Glennagat, Cahir, Co. Tipperary, E21 Y998","Glennagat, Cahir, Co. Tipperary, E21 Y998",52.422485,-7.836376,town,https://www.openstreetmap.org/?mlat=52.422485&mlon=-7.836376#map=18/52.422485/-7.836376
Tipperary,ENV-C-19-10,E25 X732,tipperary-env-c-19-10,"Kearneys Castle, Main Street, Cashel, Co Tipperary E25 X732","Main Street, Cashel, Co Tipperary E25 X732",52.515901,-7.890735,town,https://www.openstreetmap.org/?mlat=52.515901&mlon=-7.890735#map=18/52.515901/-7.890735
Tipperary,TRT.25.010,E91 PP99,tipperary-trt-25-010-1,"E91 PP99 Market Place (formerly Xtra Vision) Site (Folio TY61870F), Co. Tipperary","Market Place, Co. Tipperary, E91 PP99",52.354674,-7.701496,town,https://www.openstreetmap.org/?mlat=52.354674&mlon=-7.701496#map=18/52.354674/-7.701496
Tipperary,TRT.25.010,E91 F896,tipperary-trt-25-010-2,"b) E91 F896 Market Place SC (formerly Mai’s Café), Co. Tipperary","Market Place, Clonmel, Co. Tipperary, E91 F896",52.354674,-7.701496,town,https://www.openstreetmap.org/?mlat=52.354674&mlon=-7.701496#map=18/52.354674/-7.701496
Tipperary,TRT.25.010,E91 PF53,tipperary-trt-25-010-12,"l) E91 PF53 Unit B8 Market Place, Co. Tipperary","Unit B8 Market Place, Co. Tipperary, E91 PF53",52.354674,-7.701496,town,https://www.openstreetmap.org/?mlat=52.354674&mlon=-7.701496#map=18/52.354674/-7.701496
Tipperary,TRT.26.010,E45 X924,tipperary-trt-26-010,"Church Street, Bunacum, Toomevara E45 X924, Co. Tipperary","Church Street, Toomevara, Co. Tipperary, E45 X924",52.851206,-8.034301,town,https://www.openstreetmap.org/?mlat=52.851206&mlon=-8.034301#map=18/52.851206/-8.034301
Donegal,DSR/2025/004,F92 RK19,donegal-dsr-2025-004,"Former Scally Surgery (F92 RK19) & Dwelling (F92 NP52), Castle Street, Letterkenny,Co. Donegal.","Castle Street, Letterkenny, Co. Donegal, F92 RK19",55.037421,-7.644312,town,https://www.openstreetmap.org/?mlat=55.037421&mlon=-7.644312#map=18/55.037421/-7.644312
